"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"GBP7",0.215794423869615,-2.7041410058982,0.883466386447555,0.37733687856129,0.410748909422488,-7.35288576946141,"stable"
"MYPOP",-0.0882053034439472,2.66870127120102,-1.33105190202601,0.183675622643455,0.20911723118116,-7.35296013734577,"stable"
"LINC01118",0.108355337998237,-3.12283304328893,0.849076204273268,0.396176278346771,0.429460595740019,-7.35363239531107,"stable"
"RPL5P12",0.125150842212321,-2.82294370400884,0.874508883643783,0.382189801279407,0.415575997725016,-7.35480213561061,"stable"
"AC004069.2",0.161649288916404,-4.46291425504807,0.710594473040129,0.477610664623679,0.511287117299772,-7.35497858711886,"stable"
"PCOLCE2",0.389152855759532,4.49379434014786,1.49196826009664,0.136231111344062,0.157740048253454,-7.35500697555102,"stable"
"LINC00899",0.157936385561835,1.78982823878851,1.2210038733393,0.222562372541695,0.250612839972615,-7.35529602819007,"stable"
"BX322234.1",-0.113620334988144,0.703482636253079,-1.14366717690553,0.253216094267695,0.282754983945086,-7.35558758298,"stable"
"HES2",-0.197622726022699,0.549965393815089,-1.13586168523072,0.256466281168485,0.286157883091528,-7.35639877671737,"stable"
"ZNF19",-0.0810475185058332,2.25409939957425,-1.2820273102019,0.200326383018847,0.22710037552329,-7.35727583520505,"stable"
"AC104836.1",-0.117866548469343,-1.74849793382082,-0.974970785710308,0.329966213192481,0.362198235819078,-7.358024062377,"stable"
"NOP53-AS1",0.110374045946787,-2.47915734300045,0.904962346337403,0.365847226701073,0.399084415245094,-7.3584053528931,"stable"
"ZGPAT",0.114358581513949,2.09306759498928,1.25505608822621,0.209945209776885,0.237242422747833,-7.35852853489523,"stable"
"CFAP52",-0.10961729761021,-1.05871477305994,-1.0163116207912,0.309889144408893,0.341811244853186,-7.35901822733505,"stable"
"AC131206.1",-0.134173848435402,-3.00130977234977,-0.871722605723606,0.383707117343805,0.417039816377725,-7.3592667438367,"stable"
"U73166.1",-0.153941819822952,-1.43571237761444,-0.994855310774836,0.320206202639842,0.352325719358593,-7.35942484964279,"stable"
"HOXA10",-0.214421962975854,3.18429521907179,-1.3916839097991,0.164531939923135,0.188522665522184,-7.35953969036052,"stable"
"AC116351.2",-0.200166138073159,-2.39703352002801,-0.92776625880882,0.353900513378891,0.38691814405133,-7.35956502586039,"stable"
"AC007014.2",0.142274581243554,-4.05415322706972,0.741140699102474,0.458897030168401,0.492571647098569,-7.36053858968151,"stable"
"MMP1",0.364137269484753,0.985767537139078,1.12862322899836,0.259506208593995,0.289333019994269,-7.36088489438838,"stable"
"URB1",-0.0953688402083825,4.90962918573062,-1.54080189776572,0.123890272495164,0.144097951854083,-7.36129053509339,"stable"
"ZKSCAN5",-0.0569371985611822,4.27118025444163,-1.4905395409817,0.136605994024286,0.158153629767225,-7.36149971334447,"stable"
"ATP9B",-0.0752622145256616,5.00147475007186,-1.5451081037222,0.122845425231257,0.14295089368085,-7.36183931095228,"stable"
"ARHGEF19",0.126387668875787,2.40281797660272,1.27694478558594,0.202113874504218,0.229020252016191,-7.36225235397752,"stable"
"TRMT112P6",0.127704016719093,-2.8510171179926,0.862937782748907,0.388515198154687,0.421786836171335,-7.3626024602528,"stable"
"ARMC10P1",-0.131551339688612,-3.53881534922617,-0.816075176649492,0.414779809145379,0.44810525597574,-7.363063598969,"stable"
