"","baseMean","log2FoldChange","lfcSE","pvalue","padj","change"
"AKAP3",74.0998091374733,-2.23002583748956,0.124614356699679,4.40664765575957e-72,2.2955972553024e-70,"down"
"AKAP4",1.56979886353347,-2.23280542084315,0.274565168268796,6.17082390456066e-17,3.14428458296717e-16,"down"
"AKR1D1",3.35259705637253,4.69012101495392,0.691277493229019,2.2631074103047e-06,5.51876836908109e-06,"up"
"AKR7A3",2623.39390959561,-2.65641055729623,0.199118399706745,2.07611751111638e-41,3.42868598325219e-40,"down"
"ALAD",3781.99335082885,-2.21800184634388,0.107307988114397,1.61139314235368e-95,1.69022075283098e-93,"down"
"ALB",9762.0332608808,-6.09228504637834,0.377979136563788,4.87429172781908e-59,1.54846871997265e-57,"down"
"ALDH1A3-AS1",50.4812467836834,2.08392584972122,0.187672309028178,2.22900246372447e-29,2.14304506070554e-28,"up"
"ALDH1B1",2437.72278646464,-2.2747945752333,0.183137948166079,4.39423848961348e-36,5.76474577290926e-35,"down"
"ALDH3B2",12.3674756119999,-6.0909648214963,0.31922876211259,2.91554407541782e-84,2.21144492964753e-82,"down"
"ALDH4A1",8231.51090191491,-3.26116046341948,0.209958079584169,3.54680715075459e-55,9.8205649598658e-54,"down"
"ALDH6A1",9807.20923639548,-4.13834178254627,0.173416113744195,1.2294731069277e-126,2.83460502652657e-124,"down"
"ALDH7A1P1",5.25189488400364,-2.03890123098393,0.227131713906974,7.92577054346394e-20,4.81627069089513e-19,"down"
"ALDOB",142040.020575083,-6.38823856001481,0.427803327732167,5.58406240011596e-51,1.34329005216013e-49,"down"
"ALDOC",2778.171218262,3.73426883581055,0.165843747010611,1.18818363766182e-113,2.00493073815893e-111,"up"
"ALK",8.56719839681187,2.75256066668575,0.285305224014855,8.24675328065021e-15,3.7309869223474e-14,"up"
"ALLC",16.551100049169,-4.32927019585571,0.326176985735572,3.53018323970292e-41,5.77274205896925e-40,"down"
"ALOX15B",137.985135058599,5.00208928696627,0.355051205089271,2.12498532139291e-46,4.28790365632196e-45,"up"
"ALOX5",950.321368957765,2.91535485519346,0.205183334443215,1.01693950826272e-46,2.07359486772379e-45,"up"
"ALPI",420.607878368563,2.54624867895418,0.480353692738775,2.80073894284659e-07,7.4109868480893e-07,"up"
"ALS2CL",1081.87834556664,-2.43909751830293,0.216382018304212,3.8830394751826e-30,3.8575280383576e-29,"down"
"AMBP",218.489292421619,-2.22705043278867,0.225073798833909,1.05829462010386e-23,7.81835295803886e-23,"down"
"AMELY",0.577640993400218,-2.02620899959419,0.87559256069288,0.00623806270692371,0.0103987062920342,"down"
"AMER2",1.5396312652122,-2.86160507241173,0.418600526090358,2.63363142002127e-13,1.08427760337014e-12,"down"
"AMH",7.05905136532056,2.02981673102915,0.298161423884467,1.66419336343535e-12,6.51629504976551e-12,"up"
"AMPH",55.516160682803,-2.61152913104352,0.213686850355051,5.03370277333353e-35,6.31205184597978e-34,"down"
"AMZ1",26.3547359664299,3.49606919949396,0.323773038929912,3.16233082658404e-28,2.89343951386389e-27,"up"
"ANGPT2",2546.0663474809,4.32227251130274,0.184857120135832,5.69326387934822e-122,1.16292405872371e-119,"up"
"ANGPTL1",262.443401994268,-2.84264564669505,0.259065126774704,1.06138630617667e-28,9.886176610252e-28,"down"
"ANGPTL2",1675.56306993868,2.23164871924413,0.171700182090692,2.60604600254358e-39,3.98452969239855e-38,"up"
"ANGPTL3",1727.90348901576,-3.20831912131763,0.366416667983477,3.7689633426418e-19,2.20512764815972e-18,"down"
"ANGPTL4",18751.7062955888,5.77575945421978,0.234899113442129,5.79951087758107e-124,1.25043898421623e-121,"up"
"ANGPTL7",9.71111491152802,-2.32787887948594,0.495807037688878,5.55923658756017e-07,1.43199538913635e-06,"down"
"ANGPTL8",58.7525920620951,4.71895502808036,0.412456674755679,1.79151471452478e-13,7.46015944964663e-13,"up"
"ANK1",208.181905491036,2.77499059792239,0.245184903636764,1.00231936146855e-30,1.02638560471225e-29,"up"
"ANK2",7362.39688586984,-2.8821000264187,0.245864185847131,1.93648895671651e-32,2.15859654600769e-31,"down"
"ANKK1",32.4432318164734,2.16140273274965,0.249870356441861,7.61038599080554e-14,3.24095552636975e-13,"up"
"ANKRD13B",128.687080429388,2.34019715491596,0.21059825122403,1.108611750038e-29,1.07967934802948e-28,"up"
"ANKRD18DP",3.60212058517677,2.46343222334537,0.319270318398394,2.54239305320311e-15,1.17815253008732e-14,"up"
"ANKRD2",129.388559073309,-2.2336997749128,0.379357371033888,9.1447623495181e-10,2.95392050360933e-09,"down"
"ANKRD30B",1.68565713776877,-3.79121767805324,0.379038929100981,7.35265648904359e-27,6.32485995581342e-26,"down"
"ANKRD34B",10.344118016074,-3.55889476656438,0.329362252770137,6.76902484210401e-28,6.10234272060526e-27,"down"
"ANKRD34C",3.56436554688332,-2.80051753773874,0.347177625619151,1.0157508761287e-16,5.10197905555065e-16,"down"
"ANKRD63",0.315958538117409,-3.37857781039147,0.791518378662869,0.000741091713614478,0.00138778139471063,"down"
"ANLN",191.875800627186,3.07031765375857,0.207925414109576,2.02498406771601e-50,4.79205071146698e-49,"up"
"ANO1",1059.42052943904,2.84316654386975,0.193304091453815,1.19912221753319e-49,2.7537238616842e-48,"up"
"ANO4",176.08654014496,4.18614075087575,0.247464520012214,1.48675223033099e-65,6.23793016855629e-64,"up"
"ANO5",182.156118026036,-2.91674832941911,0.288045354488672,5.33411910224965e-31,5.54510256316899e-30,"down"
"ANXA2R",219.740395240496,2.68042595653628,0.185207383769722,1.7051872673248e-48,3.74241194221727e-47,"up"
"ANXA2R-AS1",81.9907600510461,2.29015196595008,0.161459461877759,2.17091153882612e-46,4.37678321152424e-45,"up"
"ANXA9",714.820160530098,-2.43473849506814,0.146741344254863,1.88098667592883e-62,6.88689555592435e-61,"down"
"AOAH",533.699481705565,2.14040973880355,0.173528933239335,1.40349541643365e-35,1.80263619785295e-34,"up"
"AOX1",5679.12580131952,-2.46873915601156,0.28355384174559,6.4757613681926e-19,3.73161542241358e-18,"down"
"AP1M2",1182.14135074453,-2.64394751006945,0.188924927369719,3.59153508420348e-45,6.911775700063e-44,"down"
"APBB1IP",1338.11444108206,2.76890286214299,0.167211645200587,2.21354075803188e-62,8.07907681685429e-61,"up"
"APCDD1L",71.3670837208682,-2.7263078070555,0.310483365100066,3.17871406371682e-19,1.86823664027536e-18,"down"
"APCDD1L-DT",63.2885733728773,-4.13771534050595,0.221559000118395,3.12736560036649e-79,2.00065481786083e-77,"down"
"APCS",35.8658031211287,6.14793546113925,0.807759334322839,2.15708002918564e-09,6.77498861068477e-09,"up"
"APELA",25.2764644402881,-4.33055543252945,0.439744492092424,1.74546438929475e-23,1.27533366078185e-22,"down"
"APLN",2441.84367966485,2.27973339989501,0.178780081954796,8.34268064081236e-38,1.18745514304374e-36,"up"
"APOA1",24.1673235738175,-2.13126916523816,0.375143829396886,3.30010294954186e-09,1.02066937552174e-08,"down"
"APOA2",5.32630721247777,-4.93942223770683,0.360903996536609,5.26689988819603e-46,1.04467658259398e-44,"down"
"APOB",341.28589570367,3.25207579005072,0.361705799304534,1.29998029811682e-20,8.17702356076397e-20,"up"
"APOBEC3C",590.026394489801,2.45865477370734,0.138888679910071,4.65601681090988e-71,2.37242904723955e-69,"up"
"APOBEC3G",847.413013279835,2.19397227437095,0.138808871647747,6.85937307540429e-57,2.00914920042597e-55,"up"
"APOBEC3H",52.0552568715085,3.03711771532408,0.210310887952839,3.94002069549153e-48,8.51088329454692e-47,"up"
"APOBR",285.151471652522,2.38982052250217,0.185761929570289,7.41750971161935e-39,1.11005225671445e-37,"up"
"APOC1",3741.28779714101,5.30224264012438,0.232491320168489,7.00253713025166e-117,1.28394550877984e-114,"up"
"APOC3",120.54948504949,-5.06615210179626,0.456735186406543,2.82084776702153e-29,2.70091534140063e-28,"down"
"APOH",501.49736498191,-5.17884897797676,0.366791454408893,6.09595138047346e-46,1.20398917596018e-44,"down"
"APOL1",6905.4343012031,2.32882771230147,0.219580899170157,4.4139972367453e-27,3.82524524208601e-26,"up"
"APOL5",6.53664949605115,5.09193359847406,0.481952017747986,4.77013398971897e-34,5.74339917707321e-33,"up"
"APOLD1",5301.81359482275,2.93106998522156,0.21466426357118,1.6873625372141e-43,3.06728524914657e-42,"up"
"APOM",4179.25797871722,-2.76070575945165,0.231786309474656,1.84605533344397e-33,2.15799420153495e-32,"down"
"AQP11",170.125630919691,-2.66311801165228,0.143972880777989,5.19612205931746e-77,3.11847675962027e-75,"down"
"AQP2",11544.9059865865,-9.33871260181995,0.356736072199528,1.71219051477609e-151,6.43065618178644e-149,"down"
"AQP5",15.2369828142398,-4.56135548610962,0.24762474374866,4.07323314503855e-77,2.45723593304061e-75,"down"
"AQP5-AS1",19.6532547630319,-7.43510487994899,0.317472958235146,1.92750900809976e-149,6.90522688655555e-147,"down"
"AQP6",410.763874282863,-5.9076391926063,0.355293295687208,1.25470391527026e-62,4.63762466206085e-61,"down"
"AQP7",740.725021452831,-2.44581562491297,0.178551832523692,2.43090170877918e-43,4.40856520176262e-42,"down"
"AQP7P2",13.1082822240177,-5.03986000748904,0.275189818395442,1.50234227039073e-75,8.59546489147875e-74,"down"
"AQP8",2.85264863744761,2.05515885853042,0.400084269883907,3.83214230461635e-08,1.09209724275237e-07,"up"
"AQP9",303.232616014267,3.1903634568115,0.339761836540551,1.84013451852297e-18,1.02756288725002e-17,"up"
"ARHGAP22",228.441238414504,3.16702744668078,0.194932550003896,1.60139687461613e-60,5.42796617500892e-59,"up"
"ARHGAP26-AS1",2.60095244628603,2.12269664693626,0.363106356126408,1.35509991791472e-09,4.32673202914605e-09,"up"
"ARHGDIB",7524.05264795363,2.03276092013974,0.119858124014767,9.22736605923044e-65,3.74335271873241e-63,"up"
"ARHGEF38-IT1",1.3883253521207,-2.76914548929109,0.366886388490442,1.5593856158553e-15,7.31651288551413e-15,"down"
"ARHGEF39",160.620099345437,2.34237913892071,0.141376194881447,1.70879455714421e-62,6.2662976468756e-61,"up"
"ARID3C",3.94405926273509,2.64842823464944,0.454839225038103,4.1863785896119e-10,1.38530640667476e-09,"up"
"ARK2C",60.4063019276385,2.50568935913624,0.244332601515421,1.34953424672455e-25,1.09572016977782e-24,"up"
"ARL4D",494.25567775228,-2.2170835609732,0.221510479373821,3.21936503939093e-24,2.43554692356261e-23,"down"
"ARMH4",374.791974764298,-3.81800071086554,0.178872976675286,7.77017884557181e-102,9.47310914125577e-100,"down"
"ARRDC2",3655.24988275453,2.4488261210486,0.189364297301717,3.97182713930137e-39,5.99015328793858e-38,"up"
"ARRDC5",12.4168433498082,2.30906960330155,0.30662507613417,6.89681484972817e-15,3.13119966057263e-14,"up"
"ARSFP1",0.690224638045982,-7.04893905851211,1.43632923715393,3.70298224485021e-07,9.68632268631566e-07,"down"
"ARX",17.360545574073,2.99146750595914,0.695597842398297,8.7271215766054e-07,2.21083282237634e-06,"up"
"ASB10",0.756549688633028,-3.73759899534646,0.535389265016445,1.60835224668027e-13,6.71425070207901e-13,"down"
"ASB15",88.3188937385051,-8.5205319262971,0.324715191062154,2.19377529640588e-155,9.28804573674677e-153,"down"
"ASB15-AS1",2.02895317778452,-4.76696740219666,0.477236940297583,9.8803794223554e-28,8.8354268521109e-27,"down"
"ASB18",2.83724694305548,2.55645260420126,0.580788150659164,0.000218564891468425,0.000435633147542047,"up"
"ASB5",11.6547105129114,-3.94963768927666,0.314563172671394,1.84885273536537e-37,2.59351715636855e-36,"down"
"ASB9",403.042325654937,-2.33880307951871,0.124828744749393,6.47538744305914e-79,4.13111978079658e-77,"down"
"ASCL3",0.901640829019937,-2.03234804213942,0.389036676845081,5.52357659174744e-08,1.55596053697137e-07,"down"
"ASCL4",4.03278535069368,-2.36734653581271,0.252670293943749,6.99129787534403e-22,4.73253960247852e-21,"down"
"ASCL5",1.28468397953535,3.13063385512146,0.596445538479409,1.93743907003871e-09,6.11151533255505e-09,"up"
"ASF1B",124.342189604799,3.05240624267558,0.153610068578786,9.62482580358762e-89,8.36282439038587e-87,"up"
"ASIC5",1.20423042885055,-2.11035216692147,0.626133630010747,0.000222566855103041,0.000442927253049261,"down"
"ASPDH",512.598030883038,-4.07192533282938,0.283877651966337,2.24414005991702e-47,4.66580762814534e-46,"down"
"ASPHD1",305.224137152912,2.93577800361654,0.216687649418973,6.20468046109401e-43,1.10884258800487e-41,"up"
"ASPM",116.907381657269,3.19879522098724,0.196504639438013,1.40723153365653e-60,4.77679205433324e-59,"up"
"ASS1",38443.1990136318,-4.17550318353493,0.159287542104064,3.62043265505696e-152,1.38205565255174e-149,"down"
