"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AC103858.1",2.76765877952736,2.11914806649551,0.252002649220191,8.40922931982301,4.12713501755671e-17,1.37934648181095e-16,"up"
"TFDP1P2",11.9647589384358,-2.51892262437546,0.29959342399142,-8.40780345181274,4.1776044566173e-17,1.39564015291513e-16,"down"
"AC018685.2",24.3611708563921,2.62837207680518,0.312868686086353,8.40087932635016,4.43147614894202e-17,1.47954049631258e-16,"up"
"AC091059.2",2.2328827829933,2.71698131436317,0.323466150223221,8.39958466284094,4.48060576974978e-17,1.49563623543275e-16,"up"
"C6orf141",76.6861614416185,2.16065971383426,0.257256792017943,8.39884419332864,4.50894606053262e-17,1.50494176059399e-16,"up"
"TRBJ2-2",1.71793258865798,2.54737540609995,0.303321155088719,8.39827807379562,4.53073258349167e-17,1.51205816196213e-16,"up"
"LINC01524",6.70767854486712,2.22417805700297,0.264928655995843,8.39538497125757,4.64370222560564e-17,1.54864706249706e-16,"up"
"RPS12P20",2.16956787838001,2.59721974086224,0.30938169555081,8.39487202446888,4.66401970515676e-17,1.55526327413008e-16,"up"
"CBLN1",59.7741339897197,2.10864967560943,0.251281976042472,8.39156754821534,4.79702588919238e-17,1.59797637700333e-16,"up"
"AC131956.2",1.94959717958776,3.01605854729295,0.359437581342613,8.39104952806275,4.81821283822398e-17,1.60486968399409e-16,"up"
"IGHG1",60885.541877026,2.45574235222475,0.292767345602535,8.38803366943355,4.94340651844773e-17,1.64572660018656e-16,"up"
"TRAV8-5",2.38076035250566,2.60958514391433,0.31112453601862,8.38759031128985,4.96207960786297e-17,1.65177397063298e-16,"up"
"AC006487.1",2.49153502751405,2.67216736237278,0.318684192835134,8.38500127226323,5.07252075929734e-17,1.68784623709311e-16,"up"
"AC012615.4",3.77963273042078,2.25250886242931,0.268719988983941,8.38236437470202,5.18749516208389e-17,1.72539676922637e-16,"up"
"RNU6-611P",3.99560675946045,2.06807234239015,0.246761912709541,8.38084094778612,5.25508736848976e-17,1.74698471481986e-16,"up"
"AL121899.1",7.19184322075937,2.03188737250662,0.24249805600275,8.37898417001569,5.33864532898234e-17,1.77421816601806e-16,"up"
"CEACAM20",3.57775248603453,2.94395554433814,0.35135124900845,8.37895283607585,5.34006659098956e-17,1.77450909543575e-16,"up"
"AC007792.1",3.39063740797022,2.31878987507061,0.276812732808353,8.37674572099972,5.44112273786022e-17,1.8069819091337e-16,"up"
"MTND4P23",4.56050142729301,2.09790906346005,0.250448829954455,8.37659758219499,5.44797264939252e-17,1.80907193931666e-16,"up"
"PI3",77.8593763667199,2.72084964361453,0.324817439441029,8.37655037333212,5.45015736530067e-17,1.80961256039791e-16,"up"
"AP000553.2",5.36088514112127,2.14380973854787,0.256057647655146,8.37237144908523,5.64701122220001e-17,1.87401682138118e-16,"up"
"AC087318.1",2.12410674559211,3.77673293683,0.451149826048254,8.37134964654969,5.69620179410167e-17,1.89014825073442e-16,"up"
"AC097636.1",3.17022225630409,-2.25737085603953,0.269794515861006,-8.3670005256982,5.9103434099032e-17,1.95860707352236e-16,"down"
"AC097382.1",2.78347377050452,2.5687750272402,0.307111054646922,8.36431964389383,6.04627983734295e-17,2.00304199767841e-16,"up"
"MROH3P",13.1584994745543,2.25667233033001,0.269832206376549,8.36324307106927,6.10173206821689e-17,2.02079470054669e-16,"up"
"FABP2",4.70836564351336,-2.13231736470293,0.254968124885838,-8.36307426921573,6.11047210259363e-17,2.0232770175516e-16,"down"
"AL160400.1",2.3503958119054,2.91528827833078,0.34861591549924,8.36246467449972,6.14213795006581e-17,2.03355497116498e-16,"up"
"AC093151.5",3.87604097790543,2.05552924042029,0.245855841211262,8.36070939089052,6.23422420277448e-17,2.06257271125581e-16,"up"
"CCL11",40.9990627230159,-2.42251027407017,0.289904609965526,-8.35623232882791,6.47531225407883e-17,2.13928786654318e-16,"down"
"AC013452.2",2.70115173763368,2.15998703895803,0.258519315212762,8.35522497489349,6.53081233686169e-17,2.15718531049621e-16,"up"
"SCDP1",2.19415290267468,2.3963883287493,0.286831579226634,8.35468791550264,6.56059304665312e-17,2.16680198469619e-16,"up"
"SMIM31",3.1289429449944,-3.48853040055079,0.417673516572355,-8.35229015518981,6.69519437306341e-17,2.20991038556116e-16,"down"
"AC131254.1",1.64059968023346,2.74107468867221,0.328363054500899,8.34769518403511,6.96079382981566e-17,2.29641208253986e-16,"up"
"NRAD1",126.97826459134,-2.63483580762811,0.315648014331692,-8.34738597423697,6.97903540550912e-17,2.30219646877418e-16,"down"
"SAG",5.13966614075237,2.43736180061737,0.292076985167209,8.34492933163504,7.12564809306887e-17,2.34936809186182e-16,"up"
"MIR4668",4.08338912718348,2.16605694537635,0.259587717602416,8.34421969337503,7.16856195257785e-17,2.36279813967711e-16,"up"
"AP000867.4",3.03092627542809,2.68664030462055,0.322084209679106,8.34142197562948,7.34024531386226e-17,2.41889543748959e-16,"up"
"KLRC3",1.72440543797135,2.51231255011534,0.301188937981262,8.34131746987216,7.34673632110946e-17,2.4207890843599e-16,"up"
"RORB",45.9589674592604,-2.27458896156793,0.272723554481983,-8.34027323341518,7.41190707118617e-17,2.44127342428765e-16,"down"
"AGBL1",11.4944395648689,2.99676099070841,0.359353286077195,8.33931706433501,7.47208139566263e-17,2.46034532656332e-16,"up"
