"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ND4L",-1.06463374764369,9.8689610210732,-5.36779625147049,3.27150226266546e-07,7.41330939210029e-07,4.93920993780873,"stable"
"PFKFB3",1.06487538103422,6.55144657828386,5.39214684181091,2.92536428135155e-07,6.66315772737059e-07,4.93557016928588,"stable"
"GCSAML",1.33969326505677,-2.56763563970982,5.17836004403603,7.7275565187304e-07,1.69616072255443e-06,4.93548863050027,"stable"
"TPM4",0.654929775089693,7.81653431984914,5.38674982977619,2.99885578678695e-07,6.82332835970623e-07,4.93394526882676,"stable"
"EXT2",0.315957422184305,5.93132385032486,5.39190509062764,2.92861828686961e-07,6.66880473656882e-07,4.93123698566272,"stable"
"FGFR2",-0.762242519847501,4.98776818348356,-5.38800156548405,2.98165196077826e-07,6.7859781206766e-07,4.93029764610939,"stable"
"FSIP1",-0.708900522671929,0.158592058705631,-5.24916993708716,5.61639652364775e-07,1.24724285545144e-06,4.92597057279626,"stable"
"CXXC4",0.881238511513372,1.58109393405038,5.2731417603637,5.03828617157122e-07,1.12408108402797e-06,4.92553858969812,"stable"
"PTGS2",-1.21294093294866,1.99683670187333,-5.30782256731909,4.30332094263398e-07,9.66240642069178e-07,4.92121496963443,"stable"
"NELFA",0.526413594504729,3.99837557393618,5.35769621607538,3.42652017441457e-07,7.75030151130558e-07,4.92086971243607,"stable"
"ZNF230",0.469447792122852,2.52697632749003,5.30529674309707,4.35311601387558e-07,9.77166412555328e-07,4.91360797776712,"stable"
"SLC16A12",-1.77802077379707,6.08749859230985,-5.38434106723495,3.03223477569267e-07,6.89471954346181e-07,4.91159339139037,"stable"
"VRK3",-0.521429934696717,5.18124152160295,-5.38409688632252,3.03563864057564e-07,6.90119729176321e-07,4.90606418590861,"stable"
"DRAP1",0.566135431879403,5.56819155904533,5.38407919537987,3.03588539590606e-07,6.90119729176321e-07,4.90520183098474,"stable"
