"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AL121956.7",-3.20674771833913,-4.90304313853329,-20.7150519874567,2.23283157147131e-72,6.89708296017151e-71,154.117253785976,"down"
"THSD4",-2.4345178882202,4.25978624282038,-20.7415635291835,1.61900603547422e-72,5.02416548878876e-71,153.899480234123,"down"
"AC093627.7",-3.42039801840515,-1.18160126566142,-20.661070567955,4.29563182998784e-72,1.32384460489235e-70,153.326157246327,"down"
"PRTG",-2.52343104560774,0.828285737444649,-20.6501560165683,4.90307991607129e-72,1.50931548461198e-70,153.090794552071,"down"
"AL137002.2",-3.02251739554563,-1.61313278220511,-20.6227028130253,6.83800471317153e-72,2.09292902248351e-70,152.907946676009,"down"
"SLC38A3",-4.37718864804136,-1.95516281945421,-20.6167861759345,7.34613472903032e-72,2.24333216804967e-70,152.795500662242,"down"
"LINC00652",-2.24287033920321,-2.04701946561275,-20.6096996618691,8.00463512171815e-72,2.44164137523899e-70,152.792524555375,"down"
"TTC36",-2.89811782775777,-2.59381025270205,-20.6065734905456,8.31357584644455e-72,2.53299540448717e-70,152.757316439384,"down"
"CRABP1",-4.82113536510839,-4.35409024453951,-20.5825344056202,1.11234590328076e-71,3.37378035732623e-70,152.48060032806,"down"
"SH3GL3",-4.22276135067778,-3.59012031848689,-20.5705586851376,1.28595572927357e-71,3.89593728963648e-70,152.327224651244,"down"
"PPP1R1A",-5.66742106934432,2.33899415133577,-20.5890214504013,1.02829738492719e-71,3.12593078057459e-70,152.092693649406,"down"
"AC092813.2",-4.14632096943492,-4.47529904410264,-20.5468072168328,1.71446300381214e-71,5.17188472752304e-70,152.063871782927,"down"
"NDUFA4L2",6.68958440680457,9.42200393621302,20.5698575697557,1.29692043326057e-71,3.92472129306799e-70,152.004928194938,"up"
"CLIC5",-3.53074132427255,3.71388738599575,-20.5624282212033,1.41900702114905e-71,4.28933666866384e-70,151.732420500951,"down"
"STAC3",2.37577988138688,1.86625916250276,20.5187424550473,2.40813444832526e-71,7.23844179691669e-70,151.679240787492,"up"
"VSNL1",-4.05693145102378,-2.70657401671023,-20.5170773371307,2.45716388595467e-71,7.37754514112168e-70,151.648203266456,"down"
"HOXB5",-2.22130333225095,1.72063641176168,-20.4605353730265,4.87077002379058e-71,1.45753444060126e-69,150.731705808278,"down"
"LMX1B",-5.09696851691451,-2.71963664981684,-20.4385099531522,6.35793745527895e-71,1.89620710846429e-69,150.655878757773,"down"
"RNF43",-2.74399129226005,0.798507322924824,-20.4393586109379,6.29300275843324e-71,1.87893084586984e-69,150.531645662629,"down"
"ARL14EPL",-3.16591806675931,-5.16027060252312,-20.4168923674983,8.25792269253066e-71,2.45467209791721e-69,150.525243309148,"down"
"PDILT",-2.93074518289585,-4.52367463974963,-20.4174031936933,8.20706267151549e-71,2.44226153550137e-69,150.522900160957,"down"
"ZPLD2P",-2.71724601877419,0.337572148051539,-20.4285728774013,7.16996678861172e-71,2.13601277262508e-69,150.445645740271,"down"
"C5orf38",-4.10713941258414,-1.23267274442421,-20.4002135896139,1.01034074044366e-70,2.98998409854032e-69,150.147006764462,"down"
"RAB3B",-4.17962053155158,-0.786478455918333,-20.4023208230499,9.84920923271769e-71,2.91797787787433e-69,150.127464724693,"down"
"SCD",3.43914718506435,8.31716050291002,20.4142819642239,8.522784489608e-71,2.53059687414584e-69,149.959307547535,"up"
"FA2H",-3.5511903299004,0.314492759348094,-20.3929054048354,1.10368842849959e-70,3.26263441509712e-69,149.958100687838,"down"
"CTXND1",-3.40182359665713,0.592980517962874,-20.3856149858626,1.20539496562909e-70,3.55936672009331e-69,149.847310887441,"down"
"CDH18",-3.7266330690825,-4.74677791886938,-20.3275259720945,2.432618924861e-70,7.14385307923036e-69,149.433442023207,"down"
